state,county,NAME,population,median_age,median_household_income,population_below_poverty,housing_units
48,223,"Hopkins County, Texas",37784,39.5,70888,4421,15882
48,225,"Houston County, Texas",22051,43.7,56531,2914,10837
48,227,"Howard County, Texas",32290,36.7,69649,4006,14048
48,229,"Hudspeth County, Texas",3403,37.6,48600,508,1133
48,231,"Hunt County, Texas",108972,36.8,71938,12424,43022
48,233,"Hutchinson County, Texas",20184,39.3,67228,2652,10170
48,235,"Irion County, Texas",1409,40.5,70357,152,771
48,237,"Jack County, Texas",8882,40.0,68079,1011,3811
48,239,"Jackson County, Texas",15152,41.7,65414,2101,7029
48,241,"Jasper County, Texas",32727,42.8,56723,6520,16727
48,243,"Jeff Davis County, Texas",1865,58.0,59286,442,1531
48,245,"Jefferson County, Texas",253878,37.0,60026,46448,109884
48,247,"Jim Hogg County, Texas",4727,26.1,42211,1451,1872
48,249,"Jim Wells County, Texas",38850,35.7,51896,9492,16229
48,251,"Johnson County, Texas",195597,37.1,84859,19224,70796
48,253,"Jones County, Texas",20304,39.3,59464,2035,7062
48,255,"Karnes County, Texas",14968,38.1,60214,2223,5975
48,257,"Kaufman County, Texas",172604,33.8,89485,16548,54130
48,259,"Kendall County, Texas",48567,43.2,114962,2405,19213
48,261,"Kenedy County, Texas",145,54.8,38882,22,127
48,263,"Kent County, Texas",734,60.0,72889,67,523
48,265,"Kerr County, Texas",53489,48.8,69395,5834,25632
48,267,"Kimble County, Texas",4389,47.4,69455,505,2736
48,269,"King County, Texas",211,49.4,46645,50,189
48,271,"Kinney County, Texas",3157,50.3,70000,236,1482
48,273,"Kleberg County, Texas",30579,29.0,61292,8077,14012
48,275,"Knox County, Texas",3307,41.2,56667,502,1804
48,277,"Lamar County, Texas",50669,39.7,61880,9460,22824
48,279,"Lamb County, Texas",12828,37.1,60760,1887,5885
48,281,"Lampasas County, Texas",22715,43.8,81736,2052,9871
48,283,"La Salle County, Texas",6839,35.5,57716,1222,2271
48,285,"Lavaca County, Texas",20552,42.9,63240,2304,10518
