state,county,NAME,housing_units,occupied_housing_units,vacant_housing_units,owner_occupied_units,renter_occupied_units,median_home_value,median_gross_rent,average_household_size
48,215,"Hidalgo County, Texas",308556,270210,38346,182271,87939,140900,957,3.27
48,217,"Hill County, Texas",16434,13767,2667,10767,3000,179200,946,2.66
48,219,"Hockley County, Texas",9233,7915,1318,5715,2200,127000,850,2.64
48,221,"Hood County, Texas",29066,25523,3543,20716,4807,306400,1428,2.54
48,223,"Hopkins County, Texas",15882,14002,1880,9957,4045,221100,1109,2.66
48,225,"Houston County, Texas",10837,7983,2854,5639,2344,164900,887,2.42
48,227,"Howard County, Texas",14048,12191,1857,8474,3717,155600,1034,2.39
48,229,"Hudspeth County, Texas",1133,842,291,620,222,64000,705,3.46
48,231,"Hunt County, Texas",43022,38466,4556,27435,11031,241700,1222,2.74
48,233,"Hutchinson County, Texas",10170,7000,3170,5829,1171,119100,932,2.84
48,235,"Irion County, Texas",771,588,183,487,101,204400,1950,2.39
48,237,"Jack County, Texas",3811,2986,825,2156,830,251200,960,2.61
48,239,"Jackson County, Texas",7029,6028,1001,4265,1763,203900,1065,2.48
48,241,"Jasper County, Texas",16727,13845,2882,10941,2904,136400,848,2.28
48,243,"Jeff Davis County, Texas",1531,966,565,850,116,226200,1241,1.92
48,245,"Jefferson County, Texas",109884,94807,15077,59256,35551,169500,1117,2.52
48,247,"Jim Hogg County, Texas",1872,1279,593,721,558,129400,824,3.64
48,249,"Jim Wells County, Texas",16229,13279,2950,9090,4189,123600,938,2.9
48,251,"Johnson County, Texas",70796,65507,5289,48903,16604,285900,1398,2.94
48,253,"Jones County, Texas",7062,5915,1147,4755,1160,96500,866,2.44
48,255,"Karnes County, Texas",5975,4730,1245,2953,1777,149000,957,2.45
48,257,"Kaufman County, Texas",54130,50990,3140,39818,11172,320900,1554,3.36
48,259,"Kendall County, Texas",19213,17741,1472,14103,3638,512700,1606,2.7
48,261,"Kenedy County, Texas",127,55,72,29,26,-666666666,-666666666,2.53
48,263,"Kent County, Texas",523,308,215,244,64,122200,675,2.19
48,265,"Kerr County, Texas",25632,22615,3017,15863,6752,321200,1109,2.27
48,267,"Kimble County, Texas",2736,2041,695,1611,430,201300,790,2.13
48,269,"King County, Texas",189,111,78,66,45,52100,-666666666,1.9
48,271,"Kinney County, Texas",1482,1152,330,967,185,82000,1272,2.43
48,273,"Kleberg County, Texas",14012,11853,2159,6225,5628,161300,1043,2.43
48,275,"Knox County, Texas",1804,1246,558,964,282,77300,521,2.56
48,277,"Lamar County, Texas",22824,20019,2805,13226,6793,200700,949,2.49
48,279,"Lamb County, Texas",5885,4677,1208,3463,1214,82400,968,2.7
48,281,"Lampasas County, Texas",9871,8390,1481,6724,1666,250400,1059,2.68
48,283,"La Salle County, Texas",2271,1647,624,1252,395,97800,819,3.46
48,285,"Lavaca County, Texas",10518,8476,2042,6640,1836,228300,910,2.37
48,287,"Lee County, Texas",7981,6984,997,5434,1550,267800,1067,2.5
48,289,"Leon County, Texas",9067,6741,2326,5162,1579,186400,907,2.4
48,291,"Liberty County, Texas",36121,31183,4938,25669,5514,181700,1044,3.15
48,293,"Limestone County, Texas",10443,8389,2054,6051,2338,164200,905,2.55
48,295,"Lipscomb County, Texas",1432,1025,407,845,180,124300,876,2.8
48,297,"Live Oak County, Texas",5996,4358,1638,3109,1249,159200,924,2.3
48,299,"Llano County, Texas",15788,10765,5023,8237,2528,356500,998,2.06
48,301,"Loving County, Texas",33,27,6,3,24,-666666666,-666666666,1.22
48,303,"Lubbock County, Texas",139344,126225,13119,70060,56165,214100,1178,2.42
48,305,"Lynn County, Texas",2521,2099,422,1616,483,147300,927,2.71
48,307,"McCulloch County, Texas",4219,3297,922,2195,1102,150500,806,2.25
48,309,"McLennan County, Texas",108454,97338,11116,60155,37183,243600,1173,2.64
48,311,"McMullen County, Texas",348,207,141,162,45,97100,758,3.38
48,313,"Madison County, Texas",5107,4225,882,3181,1044,176200,851,2.7
48,315,"Marion County, Texas",5623,4207,1416,3302,905,101500,911,2.29
48,317,"Martin County, Texas",2135,1973,162,1540,433,174800,971,2.61
48,319,"Mason County, Texas",2430,1711,719,1364,347,293600,800,2.31
48,321,"Matagorda County, Texas",19058,15439,3619,10515,4924,172900,999,2.33
48,323,"Maverick County, Texas",20445,18080,2365,12751,5329,158700,859,3.19
48,325,"Medina County, Texas",19890,17804,2086,14924,2880,239600,1196,2.87
48,327,"Menard County, Texas",1383,942,441,760,182,108500,729,2.03
48,329,"Midland County, Texas",72723,67651,5072,45749,21902,312700,1407,2.56
48,331,"Milam County, Texas",11641,10152,1489,7805,2347,189800,984,2.47
48,333,"Mills County, Texas",2597,1799,798,1444,355,223700,708,2.42
48,335,"Mitchell County, Texas",3691,2758,933,2170,588,85800,524,2.76
48,337,"Montague County, Texas",10348,8538,1810,6820,1718,206400,1008,2.43
48,339,"Montgomery County, Texas",266019,247541,18478,177657,69884,346200,1532,2.75
48,341,"Moore County, Texas",8277,7157,1120,4470,2687,152600,939,2.97
48,343,"Morris County, Texas",5821,4895,926,3617,1278,120400,859,2.44
48,345,"Motley County, Texas",734,460,274,352,108,88000,675,2.57
48,347,"Nacogdoches County, Texas",29156,25302,3854,14993,10309,169200,965,2.38
48,349,"Navarro County, Texas",22191,19044,3147,13224,5820,172600,1076,2.8
48,351,"Newton County, Texas",6492,4841,1651,4011,830,103100,1001,2.47
48,353,"Nolan County, Texas",7104,5886,1218,4008,1878,96300,913,2.39
48,355,"Nueces County, Texas",154408,131160,23248,78272,52888,208800,1283,2.63
48,357,"Ochiltree County, Texas",4345,3680,665,2676,1004,134400,891,2.64
48,359,"Oldham County, Texas",776,614,162,452,162,162800,1111,2.82
48,361,"Orange County, Texas",37937,32437,5500,24383,8054,173400,1100,2.61
48,363,"Palo Pinto County, Texas",15206,11234,3972,7978,3256,198000,1093,2.58
48,365,"Panola County, Texas",10853,8898,1955,7111,1787,158100,834,2.5
48,367,"Parker County, Texas",59879,56437,3442,45567,10870,375900,1500,2.9
48,369,"Parmer County, Texas",3745,3231,514,2329,902,146700,1081,2.98
48,371,"Pecos County, Texas",5897,5238,659,3769,1469,165700,918,2.44
48,373,"Polk County, Texas",26469,19517,6952,15241,4276,184800,987,2.51
48,375,"Potter County, Texas",49390,42581,6809,24395,18186,147300,1022,2.56
48,377,"Presidio County, Texas",3273,2418,855,1870,548,121300,448,2.45
48,379,"Rains County, Texas",5925,4856,1069,4010,846,241100,989,2.62
48,381,"Randall County, Texas",61677,56807,4870,38556,18251,238800,1170,2.52
48,383,"Reagan County, Texas",1336,1033,303,723,310,171500,746,3.12
48,385,"Real County, Texas",1951,1128,823,881,247,112500,1188,2.39
48,387,"Red River County, Texas",6194,4978,1216,3559,1419,121500,1044,2.3
48,389,"Reeves County, Texas",5167,4224,943,3113,1111,118000,981,2.75
48,391,"Refugio County, Texas",3359,2495,864,1921,574,99000,795,2.63
48,393,"Roberts County, Texas",393,323,70,275,48,161500,859,2.58
48,395,"Robertson County, Texas",8612,6701,1911,4852,1849,185900,779,2.53
48,397,"Rockwall County, Texas",43580,41237,2343,34034,7203,415500,1992,2.98
48,399,"Runnels County, Texas",4990,3809,1181,2857,952,109300,847,2.54
48,401,"Rusk County, Texas",21311,18027,3284,14213,3814,171300,1015,2.65
48,403,"Sabine County, Texas",7697,4649,3048,3983,666,153100,844,2.13
48,405,"San Augustine County, Texas",4814,2940,1874,2208,732,99900,591,2.6
48,407,"San Jacinto County, Texas",15011,10881,4130,9201,1680,209300,1060,2.6
48,409,"San Patricio County, Texas",30435,25334,5101,16941,8393,192400,1291,2.74
48,411,"San Saba County, Texas",2835,2090,745,1498,592,168700,958,2.42
48,413,"Schleicher County, Texas",1287,964,323,813,151,122700,660,2.45
48,415,"Scurry County, Texas",6881,5876,1005,4514,1362,113800,1020,2.48
48,417,"Shackelford County, Texas",1575,1293,282,1017,276,174800,718,2.42
48,419,"Shelby County, Texas",11584,9366,2218,6932,2434,101500,781,2.56
48,421,"Sherman County, Texas",1135,843,292,643,200,146900,835,2.68
48,423,"Smith County, Texas",99673,83134,16539,57215,25919,240700,1238,2.83
48,425,"Somervell County, Texas",4017,3713,304,2972,741,289500,773,2.53
48,427,"Starr County, Texas",23139,19157,3982,13320,5837,95100,726,3.42
48,429,"Stephens County, Texas",4676,3623,1053,2868,755,110200,846,2.44
48,431,"Sterling County, Texas",524,399,125,310,89,147000,952,3.59
48,433,"Stonewall County, Texas",791,513,278,434,79,48600,613,2.3
48,435,"Sutton County, Texas",1766,1273,493,968,305,155700,772,2.56
48,437,"Swisher County, Texas",3029,2383,646,1583,800,86300,783,2.64
48,439,"Tarrant County, Texas",843257,782419,60838,463669,318750,323900,1547,2.73
48,441,"Taylor County, Texas",62198,54934,7264,33257,21677,198600,1159,2.53
48,443,"Terrell County, Texas",639,451,188,403,48,137500,-666666666,1.85
48,445,"Terry County, Texas",4789,4297,492,2858,1439,105400,817,2.54
48,447,"Throckmorton County, Texas",991,737,254,501,236,89500,878,2.22
48,449,"Titus County, Texas",12146,11156,990,7876,3280,174000,907,2.79
48,451,"Tom Green County, Texas",52318,46756,5562,30460,16296,197000,1154,2.45
48,453,"Travis County, Texas",618236,583747,34489,304165,279582,523000,1744,2.23
48,455,"Trinity County, Texas",8326,6078,2248,4824,1254,119500,856,2.29
48,457,"Tyler County, Texas",9518,7145,2373,5800,1345,157300,1049,2.53
48,459,"Upshur County, Texas",17519,15583,1936,12569,3014,167800,995,2.7
48,461,"Upton County, Texas",1683,1360,323,1050,310,109000,720,2.29
48,463,"Uvalde County, Texas",10095,8417,1678,5939,2478,150800,981,2.86
48,465,"Val Verde County, Texas",18711,16810,1901,11608,5202,164600,994,2.73
48,467,"Van Zandt County, Texas",25903,22682,3221,18482,4200,222100,1066,2.73
48,469,"Victoria County, Texas",39481,34855,4626,22750,12105,209900,1157,2.58
48,471,"Walker County, Texas",30383,26017,4366,14694,11323,226900,1031,2.42
48,473,"Waller County, Texas",20345,18342,2003,13209,5133,318700,1169,3.09
48,475,"Ward County, Texas",5165,4388,777,3445,943,150700,1118,2.51
48,477,"Washington County, Texas",17642,15481,2161,10804,4677,288100,1165,2.21
48,479,"Webb County, Texas",88176,81373,6803,52630,28743,189900,1027,3.28
48,481,"Wharton County, Texas",17711,15890,1821,11482,4408,189900,1046,2.58
48,483,"Wheeler County, Texas",2606,1928,678,1470,458,106100,970,2.48
48,485,"Wichita County, Texas",55750,49017,6733,30106,18911,153700,1006,2.41
48,487,"Wilbarger County, Texas",5845,4778,1067,3210,1568,89400,932,2.5
48,489,"Willacy County, Texas",6885,5691,1194,4254,1437,73600,809,3.25
48,491,"Williamson County, Texas",262644,252323,10321,167540,84783,447000,1796,2.65
48,493,"Wilson County, Texas",19480,18185,1295,15411,2774,321300,1069,2.88
48,495,"Winkler County, Texas",3227,2762,465,2375,387,148200,1037,2.66
48,497,"Wise County, Texas",27530,25135,2395,20458,4677,304900,1299,2.94
48,499,"Wood County, Texas",22388,18672,3716,14965,3707,216500,862,2.42
48,501,"Yoakum County, Texas",3028,2612,416,1744,868,182600,973,2.87
48,503,"Young County, Texas",8545,7643,902,5661,1982,175800,862,2.32
48,505,"Zapata County, Texas",6255,4565,1690,3285,1280,97100,617,2.98
48,507,"Zavala County, Texas",3946,3271,675,2258,1013,98800,548,2.86
