state,county,NAME,total_population,median_age,male_population,female_population,white_population,black_population,american_indian_population,asian_population,native_hawaiian_population,other_race_population,two_or_more_races_population,hispanic_population
48,251,"Johnson County, Texas",195597,37.1,98341,97256,126272,9914,314,2082,169,944,6400,49502
48,253,"Jones County, Texas",20304,39.3,13071,7233,11302,2025,66,116,0,69,910,5816
48,255,"Karnes County, Texas",14968,38.1,8792,6176,5191,1389,9,45,7,0,336,7991
48,257,"Kaufman County, Texas",172604,33.8,85079,87525,84197,31718,214,3184,30,410,5642,47209
48,259,"Kendall County, Texas",48567,43.2,23820,24747,33597,426,45,800,6,364,1494,11835
48,261,"Kenedy County, Texas",145,54.8,77,68,13,1,1,1,0,0,1,128
48,263,"Kent County, Texas",734,60.0,393,341,580,7,0,0,0,0,29,118
48,265,"Kerr County, Texas",53489,48.8,26087,27402,35909,799,64,607,8,226,1539,14337
48,267,"Kimble County, Texas",4389,47.4,2161,2228,3071,47,44,0,0,0,65,1162
48,269,"King County, Texas",211,49.4,103,108,146,0,0,0,0,0,30,35
48,271,"Kinney County, Texas",3157,50.3,1864,1293,1255,2,37,0,0,0,49,1814
48,273,"Kleberg County, Texas",30579,29.0,15255,15324,6362,1110,59,390,0,88,745,21825
48,275,"Knox County, Texas",3307,41.2,1626,1681,1885,124,6,10,0,3,170,1109
48,277,"Lamar County, Texas",50669,39.7,24639,26030,36121,6086,315,470,250,21,2535,4871
48,279,"Lamb County, Texas",12828,37.1,6501,6327,4613,417,6,86,45,3,180,7478
48,281,"Lampasas County, Texas",22715,43.8,11319,11396,15785,899,8,244,0,44,1078,4657
48,283,"La Salle County, Texas",6839,35.5,4039,2800,1336,359,29,6,0,126,73,4910
48,285,"Lavaca County, Texas",20552,42.9,10097,10455,14687,749,0,71,0,32,884,4129
48,287,"Lee County, Texas",17971,42.6,9029,8942,10761,1731,48,42,0,45,570,4774
48,289,"Leon County, Texas",16263,44.6,8115,8148,11525,1168,22,24,0,13,799,2712
48,291,"Liberty County, Texas",103380,32.9,51296,52084,50298,7744,93,582,23,175,3544,40921
48,293,"Limestone County, Texas",22283,41.9,11311,10972,12184,3761,11,219,0,32,833,5243
48,295,"Lipscomb County, Texas",2918,36.3,1361,1557,1637,1,7,0,23,0,123,1127
48,297,"Live Oak County, Texas",11620,39.7,6276,5344,5480,225,0,84,76,0,844,4911
48,299,"Llano County, Texas",22424,57.4,10693,11731,18410,65,53,142,0,166,593,2995
48,301,"Loving County, Texas",33,86.2,27,6,31,0,0,2,0,0,0,0
48,303,"Lubbock County, Texas",318884,31.9,157263,161621,164153,21358,468,7562,249,920,8618,115556
48,305,"Lynn County, Texas",5752,37.3,2970,2782,3134,100,3,28,8,2,107,2370
48,307,"McCulloch County, Texas",7514,44.5,3693,3821,4810,71,4,10,0,0,330,2289
48,309,"McLennan County, Texas",266067,34.0,130587,135480,143918,35929,368,4499,44,854,8694,71761
48,311,"McMullen County, Texas",700,31.8,276,424,261,0,3,0,0,0,1,435
48,313,"Madison County, Texas",13648,36.8,7879,5769,7136,2093,9,155,19,12,651,3573
