state,county,NAME,population_16_plus,labor_force,employed,unemployed
48,387,"Red River County, Texas",9476,4703,4607,96
48,389,"Reeves County, Texas",9796,5559,5428,131
48,391,"Refugio County, Texas",5438,2861,2732,129
48,393,"Roberts County, Texas",611,390,388,2
48,395,"Robertson County, Texas",13547,7748,7134,614
48,397,"Rockwall County, Texas",95158,66399,63548,2851
48,399,"Runnels County, Texas",7817,4814,4578,236
48,401,"Rusk County, Texas",42462,22476,21474,1002
48,403,"Sabine County, Texas",8405,3912,3727,185
48,405,"San Augustine County, Texas",6563,3249,2940,309
48,407,"San Jacinto County, Texas",22956,11971,11161,810
48,409,"San Patricio County, Texas",54294,31844,30419,1425
48,411,"San Saba County, Texas",4771,2458,2382,76
48,413,"Schleicher County, Texas",1902,1047,990,57
48,415,"Scurry County, Texas",12881,6894,6726,168
48,417,"Shackelford County, Texas",2598,1740,1610,130
48,419,"Shelby County, Texas",18503,10495,10068,427
48,421,"Sherman County, Texas",1962,1192,1169,23
48,423,"Smith County, Texas",190160,117355,112134,5221
48,425,"Somervell County, Texas",7880,4987,4829,158
48,427,"Starr County, Texas",47143,26751,23958,2793
48,429,"Stephens County, Texas",7611,4166,3939,227
48,431,"Sterling County, Texas",1002,560,548,12
48,433,"Stonewall County, Texas",967,589,568,21
48,435,"Sutton County, Texas",2554,1650,1619,31
48,437,"Swisher County, Texas",5505,2888,2764,124
48,439,"Tarrant County, Texas",1684726,1156004,1101631,54373
48,441,"Taylor County, Texas",114043,68884,67099,1785
48,443,"Terrell County, Texas",691,278,278,0
48,445,"Terry County, Texas",8779,4942,4721,221
48,447,"Throckmorton County, Texas",1340,812,745,67
48,449,"Titus County, Texas",23538,14387,13943,444
48,451,"Tom Green County, Texas",94362,57722,55611,2111
48,453,"Travis County, Texas",1092182,799524,763090,36434
48,455,"Trinity County, Texas",11631,5633,5266,367
48,457,"Tyler County, Texas",16927,7314,6797,517
48,459,"Upshur County, Texas",33839,19168,18056,1112
48,461,"Upton County, Texas",2490,1276,1231,45
48,463,"Uvalde County, Texas",19108,10727,10266,461
48,465,"Val Verde County, Texas",35858,20490,19272,1218
48,467,"Van Zandt County, Texas",50058,28444,27456,988
48,469,"Victoria County, Texas",70741,43448,41543,1905
48,471,"Walker County, Texas",69907,32796,29876,2920
48,473,"Waller County, Texas",48589,29810,27789,2021
48,475,"Ward County, Texas",8267,5400,5243,157
48,477,"Washington County, Texas",29923,17489,16967,522
48,479,"Webb County, Texas",194687,122643,115910,6733
