state,county,NAME,population_25_plus,bachelors,masters,professional,doctorate
48,331,"Milam County, Texas",17756,2472,974,108,95
48,333,"Mills County, Texas",3295,622,235,31,31
48,335,"Mitchell County, Texas",6070,464,173,54,7
48,337,"Montague County, Texas",14873,1962,664,113,67
48,339,"Montgomery County, Texas",450020,113071,46117,8115,7258
48,341,"Moore County, Texas",12720,1213,311,16,24
48,343,"Morris County, Texas",8173,889,281,27,107
48,345,"Motley County, Texas",903,117,36,6,15
48,347,"Nacogdoches County, Texas",38116,6592,2621,598,934
48,349,"Navarro County, Texas",34818,4337,1463,265,282
48,351,"Newton County, Texas",8875,392,195,3,14
48,353,"Nolan County, Texas",9458,1007,414,70,27
48,355,"Nueces County, Texas",234725,36614,13618,3065,2586
48,357,"Ochiltree County, Texas",5938,866,287,13,63
48,359,"Oldham County, Texas",1270,207,45,12,8
48,361,"Orange County, Texas",56827,7162,2113,423,366
48,363,"Palo Pinto County, Texas",20182,2478,949,113,55
48,365,"Panola County, Texas",15534,1724,786,23,113
48,367,"Parker County, Texas",112004,24426,9467,1698,625
48,369,"Parmer County, Texas",6178,826,198,23,0
48,371,"Pecos County, Texas",10309,839,262,239,110
48,373,"Polk County, Texas",38342,4144,1636,331,89
48,375,"Potter County, Texas",74421,9523,2771,921,602
48,377,"Presidio County, Texas",3915,832,152,54,59
48,379,"Rains County, Texas",9560,1577,386,25,8
48,381,"Randall County, Texas",96955,21257,8195,1773,1433
48,383,"Reagan County, Texas",1854,165,69,12,6
48,385,"Real County, Texas",2031,358,61,10,0
48,387,"Red River County, Texas",8504,844,356,47,64
48,389,"Reeves County, Texas",7867,416,126,8,32
48,391,"Refugio County, Texas",4845,539,127,11,2
48,393,"Roberts County, Texas",551,96,11,0,6
48,395,"Robertson County, Texas",11825,1770,695,40,101
48,397,"Rockwall County, Texas",80968,23430,9217,1992,1384
48,399,"Runnels County, Texas",6831,899,374,30,4
48,401,"Rusk County, Texas",36376,4216,1922,110,129
48,403,"Sabine County, Texas",7806,763,283,52,20
48,405,"San Augustine County, Texas",5759,487,190,42,74
48,407,"San Jacinto County, Texas",20035,1950,783,197,320
48,409,"San Patricio County, Texas",46086,5423,2309,197,151
48,411,"San Saba County, Texas",4124,664,268,42,16
48,413,"Schleicher County, Texas",1720,260,50,6,0
48,415,"Scurry County, Texas",10993,1154,246,26,3
48,417,"Shackelford County, Texas",2271,575,120,21,59
48,419,"Shelby County, Texas",15894,1766,542,51,40
48,421,"Sherman County, Texas",1532,305,158,0,0
48,423,"Smith County, Texas",160294,30159,11263,2389,2016
48,425,"Somervell County, Texas",6925,1574,357,71,27
48,427,"Starr County, Texas",37199,3309,1356,210,176
48,429,"Stephens County, Texas",6429,722,331,46,8
48,431,"Sterling County, Texas",837,124,71,2,8
48,433,"Stonewall County, Texas",848,83,60,0,0
48,435,"Sutton County, Texas",2299,325,80,16,0
